,date,product,unit,value,decimals,consumer price index,value_norm
58,1995-11-01,"Wieners, 450 grams",Dollars,2.48,2,88.0,0.028181818181818183
59,1995-11-01,"Canned salmon, 213 grams",Dollars,3.69,2,88.0,0.04193181818181818
60,1995-11-01,"Butter, 454 grams",Dollars,2.86,2,88.0,0.0325
61,1995-11-01,"Processed cheese slices, 250 grams",Dollars,2.55,2,88.0,0.028977272727272727
62,1995-11-01,"Evaporated milk, 385 millilitres",Dollars,1.03,2,88.0,0.011704545454545455
63,1995-11-01,"Eggs, 1 dozen",Dollars,1.64,2,88.0,0.018636363636363635
64,1995-11-01,"Bread, 675 grams",Dollars,1.31,2,88.0,0.014886363636363637
65,1995-11-01,"Soda crackers, 450 grams",Dollars,1.96,2,88.0,0.022272727272727274
66,1995-11-01,"Macaroni, 500 grams",Dollars,0.99,2,88.0,0.01125
67,1995-11-01,"Flour, 2.5 kilograms",Dollars,3.36,2,88.0,0.03818181818181818
68,1995-11-01,"Corn flakes, 675 grams",Dollars,3.03,2,88.0,0.03443181818181818
69,1995-11-01,"Apples, 1 kilogram",Dollars,1.97,2,88.0,0.022386363636363635
70,1995-11-01,"Bananas, 1 kilogram",Dollars,1.18,2,88.0,0.013409090909090909
71,1995-11-01,"Oranges, 1 kilogram",Dollars,2.3,2,88.0,0.026136363636363635
72,1995-11-01,"Apple juice, 1.36 litres",Dollars,1.62,2,88.0,0.01840909090909091
73,1995-11-01,"Orange juice, 1 litre",Dollars,1.65,2,88.0,0.01875
74,1995-11-01,"Carrots, 1 kilogram",Dollars,0.94,2,88.0,0.010681818181818181
75,1995-11-01,"Mushrooms, 1 kilogram",Dollars,5.72,2,88.0,0.065
76,1995-11-01,"Onions, 1 kilogram",Dollars,0.88,2,88.0,0.01
77,1995-11-01,"Potatoes, 4.54 kilograms",Dollars,2.42,2,88.0,0.0275
78,1995-11-01,"French fried potatoes, frozen, 1 kilogram",Dollars,1.65,2,88.0,0.01875
79,1995-11-01,"Baked beans, canned, 398 millilitres",Dollars,0.82,2,88.0,0.009318181818181817
80,1995-11-01,"Tomatoes, canned, 796 millilitres",Dollars,1.22,2,88.0,0.013863636363636363
81,1995-11-01,"Tomato juice, 1.36 litres",Dollars,1.44,2,88.0,0.01636363636363636
82,1995-11-01,"Ketchup, 1 litre",Dollars,2.29,2,88.0,0.026022727272727274
83,1995-11-01,"Sugar, white, 2 kilograms",Dollars,1.97,2,88.0,0.022386363636363635
84,1995-11-01,"Coffee, roasted, 300 grams",Dollars,3.86,2,88.0,0.04386363636363636
